formula,original_formula,thermal_expansion,li ion conductivity
Li0.1356Al0.0763As0.0085Ti0.0169P0.1525O0.6102,Li2.6667Al1.5As0.1667Ti0.3333P3O12,9.286814,0.1532642198889624
Li0.1356Al0.0847As0.0000Ti0.0169P0.1525O0.6102,Li2.6667Al1.6667As0.0Ti0.3333P3O12,9.286814,
Li0.1429Al0.0000As0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.0As1.8333Ti0.1667P3O12,11.860868,
Li0.1429Al0.0168As0.0756Ti0.0084P0.1513O0.6050,Li2.8333Al0.3333As1.5Ti0.1667P3O12,11.860868,0.2327420916500977
Li0.1429Al0.0252As0.0672Ti0.0084P0.1513O0.6050,Li2.8333Al0.5As1.3333Ti0.1667P3O12,13.265314,0.31774084780143896
Li0.1429Al0.0420As0.0504Ti0.0084P0.1513O0.6050,Li2.8333Al0.8333As1.0Ti0.1667P3O12,13.265314,0.39924802918463503
Li0.1429Al0.0504As0.0420Ti0.0084P0.1513O0.6050,Li2.8333Al1.0As0.8333Ti0.1667P3O12,13.265314,0.12142767623776285
Li0.1429Al0.0672As0.0252Ti0.0084P0.1513O0.6050,Li2.8333Al1.3333As0.5Ti0.1667P3O12,13.018343,0.1813322561040928
Li0.1429Al0.0756As0.0168Ti0.0084P0.1513O0.6050,Li2.8333Al1.5As0.3333Ti0.1667P3O12,13.018343,0.23275538041589508
Li0.1429Al0.0924As0.0000Ti0.0084P0.1513O0.6050,Li2.8333Al1.8333As0.0Ti0.1667P3O12,13.018343,
Li0.1500Al0.0000As0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.0As2.0Ti0.0P3O12,15.206924,
Li0.1500Al0.0083As0.0917Ti0.0000P0.1500O0.6000,Li3.0Al0.1667As1.8333Ti0.0P3O12,15.206924,
Li0.1500Al0.0167As0.0833Ti0.0000P0.1500O0.6000,Li3.0Al0.3333As1.6667Ti0.0P3O12,15.206924,
Li0.1500Al0.0250As0.0750Ti0.0000P0.1500O0.6000,Li3.0Al0.5As1.5Ti0.0P3O12,15.317582,
